名字,阅读,帖子,粉丝
景甜,26.3亿,3.1万,5.2万
林心如,62.5亿,5.6万,11.1万
关晓彤,108.9亿,11.8万,47.2万
戚薇,32.2亿,4.5万,37.8万
杨紫,101.5亿,10.6万,25.5万
范冰冰,94.6亿,5.9万,14.7万
佟丽娅,29.5亿,2.5万,4.6万
张韶涵,27.5亿,5.5万,7.8万
柳岩,9.1亿,7668,1.3万
陈乔恩,156.7亿,27万,20.8万
高圆圆,15.1亿,4515,1.8万
韩雪,10.9亿,1.9万,2.2万
古力娜扎,78.1亿,11.7万,38.3万
Angelababy,176.7亿,21.8万,31.1万
孙俪,48.5亿,2.7万,10.4万
林志玲,11亿,7123,1.4万
李沁,47.2亿,8.5万,11.4万
周冬雨,77.8亿,4.6万,8.9万
张柏芝,31.4亿,5899,4.9万
赵薇,40.8亿,8.1万,10.4万
张馨予,35.6亿,2.7万,9万
江疏影,32.1亿,4.8万,4.7万
孙怡,15.8亿,1.7万,3.2万
张天爱,36亿,7.7万,8.4万
鞠婧祎,84亿,17.4万,15.4万
章子怡,23.9亿,1.3万,2.3万
王丽坤,17.6亿,3.6万,3.6万
欧阳娜娜,27.4亿,3.8万,3.1万
贾静雯,8.4亿,2893,1.3万
张雪迎,27.9亿,3.5万,8万
胡冰卿,13.9亿,2.2万,1.9万
宋祖儿,14.5亿,1.6万,3.9万
黄圣依,2.6亿,1210,3122
颖儿,5.8亿,7682,7199
李宇春,259亿,73.7万,43.8万
秋瓷炫,9.4亿,4449,3.2万
李小冉,3.9亿,4852,5168
毛晓彤,11.8亿,1.6万,2.3万
霍思燕,7亿,1957,9137
董璇,4.5亿,8423,6220
沈月,41.8亿,5.9万,10.1万
张子枫,4.9亿,1.4万,1.8万
董洁,3.3亿,5707,4773
俞飞鸿,7亿,8303,1.8万
吴昕,72.4亿,8万,12万
万茜,11.2亿,2.1万,1.5万
马思纯,26.9亿,4.5万,19万
于文文,2.4亿,5094,1.8万
舒淇,12.4亿,2509,1.4万
舒畅,21.1亿,4.2万,3.1万
蒋欣,42.1亿,3.5万,3.3万
阚清子,18.6亿,1.9万,4.2万
赵雅芝,10.8亿,5.9万,3.3万
张钧甯,10.7亿,2.2万,2.9万
金星,7.3亿,8387,1.1万
陈瑶,15.5亿,2.7万,2.4万
陈数,3.7亿,2.4万,1.4万
陈妍希,25.7亿,2.2万,3.2万
张檬,4.5亿,4099,5262
林允,11.9亿,7494,1.5万
张雨绮,5.5亿,440,3170
杨蓉,21.4亿,6.4万,3.5万
许晴,3.5亿,1.3万,4606
倪妮,25.3亿,2.5万,4.7万
汤唯,11.2亿,2182,1.5万
林依晨,17.5亿,1.8万,2.4万
白百何,35亿,1.3万,1.8万
袁姗姗,57.4亿,3.2万,15.7万
奚梦瑶,11.9亿,7318,2.3万
马伊琍,5.9亿,9276,2.1万
papi酱,5.3亿,3856,25.6万
谭松韵,31.4亿,5万,9.7万
唐艺昕,16.9亿,1.6万,3.1万
姚笛,4.9亿,1.8万,5736
王晓晨,4.5亿,2.5万,1.7万
娄艺潇,15.6亿,2.1万,2万
刘若英,20.3亿,1.2万,1.8万
安以轩,10.7亿,1.3万,1.4万
